Timestamp,Offset_m,Heading_deg,Steer_deg,Speed_PWM,Raw_Speed
1770114393.0930614,0.2619,5.74,-163,439,44.0
1770114393.1916702,0.2709,7.07,-196,398,39.9
1770114393.2949238,0.2639,5.99,-169,432,43.3
1770114393.397924,0.2611,5.68,-161,441,44.1
1770114393.5006154,0.2658,6.37,-178,421,42.1
1770114393.59339,0.2653,6.29,-176,423,42.4
1770114393.696271,0.2633,5.98,-168,432,43.3
1770114393.7990425,0.2657,6.26,-175,424,42.4
1770114393.9019876,0.2655,6.37,-178,421,42.1
1770114394.004915,0.2634,6.01,-169,431,43.2
1770114394.1079624,0.2702,6.98,-194,401,40.2
1770114394.2107613,0.2640,6.09,-171,429,43.0
1770114394.3035727,0.2681,6.60,-184,413,41.4
1770114394.4064488,0.2675,6.53,-182,416,41.6
1770114394.5093179,0.2613,5.87,-165,435,43.6
1770114394.61235,0.2660,6.40,-179,420,42.0
1770114394.715245,0.2657,6.31,-177,422,42.3
1770114394.8080719,0.2700,7.04,-195,399,40.0
1770114394.9109797,0.2690,6.81,-189,407,40.7
1770114395.0138757,0.2632,5.99,-168,432,43.3
1770114395.116882,0.2660,6.47,-180,417,41.8
1770114395.2204337,0.2675,6.76,-187,408,40.9
1770114395.3166804,0.2660,6.37,-178,421,42.1
1770114395.4196067,0.2677,6.65,-185,412,41.2
1770114395.5225868,0.2624,6.15,-171,427,42.8
1770114395.6255987,0.2691,6.82,-190,406,40.7
1770114395.7285233,0.2687,6.82,-190,406,40.7
1770114395.8214157,0.2652,6.18,-173,426,42.7
1770114395.938582,0.2646,6.18,-173,426,42.7
1770114396.0307012,0.2716,7.29,-202,391,39.1
1770114396.1336951,0.2711,7.14,-198,396,39.6
1770114396.2266002,0.2657,6.31,-177,422,42.3
1770114396.3295155,0.2663,6.54,-182,415,41.6
1770114396.4325054,0.2694,6.95,-193,402,40.3
1770114396.5423813,0.2687,6.76,-188,408,40.9
1770114396.6342814,0.2684,6.83,-189,406,40.7
1770114396.737254,0.2637,6.08,-171,429,43.0
1770114396.8402762,0.2651,6.24,-175,425,42.5
1770114396.9431522,0.2690,6.93,-192,403,40.3
1770114397.0458884,0.2671,6.69,-186,410,41.1
1770114397.1387358,0.2632,6.24,-174,425,42.5
1770114397.2415628,0.2598,5.95,-166,433,43.4
1770114397.3445184,0.2573,5.55,-157,444,44.5
1770114397.4476795,0.2610,6.12,-170,428,42.9
1770114397.5509665,0.2559,5.38,-153,449,45.0
1770114397.6536484,0.2537,5.41,-152,448,44.9
1770114397.7464597,0.2574,5.70,-160,441,44.1
1770114397.8493657,0.2553,5.36,-152,450,45.0
1770114397.9522245,0.2559,5.85,-162,436,43.7
1770114398.0564022,0.2540,5.27,-150,452,45.3
1770114398.159718,0.2548,5.39,-152,449,44.9
1770114398.2652915,0.2569,5.77,-161,438,43.9
1770114398.3720388,0.2521,4.97,-143,460,46.0
1770114398.4774258,0.2527,4.99,-144,459,46.0
1770114398.5841591,0.2542,5.31,-150,451,45.2
1770114398.6901662,0.2542,5.32,-151,451,45.1
1770114398.7951539,0.2541,5.30,-150,451,45.2
1770114398.9017143,0.2525,5.06,-145,458,45.8
1770114399.0078766,0.2542,5.25,-149,453,45.3
1770114399.1129405,0.2585,5.73,-161,440,44.0
1770114399.2287543,0.2624,6.05,-169,430,43.1
1770114399.323539,0.2596,5.71,-161,440,44.1
1770114399.4294136,0.2605,5.80,-163,438,43.8
1770114399.534671,0.2584,5.70,-160,441,44.1
1770114399.6402462,0.2582,5.59,-158,443,44.4
1770114399.7468493,0.2595,5.68,-160,441,44.1
1770114399.8520465,0.2590,5.61,-159,443,44.4
1770114399.9587154,0.2591,5.67,-160,441,44.2
1770114400.0634353,0.2620,5.98,-168,432,43.3
1770114400.1697035,0.2597,5.61,-159,443,44.3
1770114400.2754886,0.2656,6.35,-177,421,42.2
1770114400.3815367,0.2625,6.17,-172,427,42.7
1770114400.485515,0.2645,6.19,-173,426,42.7
1770114400.588557,0.2634,6.00,-169,432,43.2
1770114400.6937296,0.2624,6.01,-169,431,43.2
1770114400.798637,0.2607,5.71,-161,440,44.1
1770114400.9034722,0.2581,5.76,-161,439,43.9
1770114401.006665,0.2597,5.69,-161,441,44.1
1770114401.1113033,0.2608,5.76,-162,439,43.9
1770114401.2244122,0.2596,5.65,-160,442,44.2
1770114401.3286085,0.2620,5.93,-167,434,43.4
1770114401.4332485,0.2597,5.80,-163,438,43.8
1770114401.5364606,0.2621,6.00,-168,432,43.2
1770114401.6402726,0.2655,6.61,-183,413,41.4
1770114401.7435076,0.2634,6.28,-175,423,42.4
1770114401.8470416,0.2599,5.69,-161,441,44.1
1770114401.9522293,0.2672,6.73,-187,409,41.0
1770114402.055959,0.2588,5.58,-158,444,44.4
1770114402.1591735,0.2590,5.65,-159,442,44.2
1770114402.262843,0.2575,5.43,-154,448,44.8
1770114402.3662634,0.2518,5.08,-145,457,45.8
1770114402.469423,0.2592,5.72,-161,440,44.0
1770114402.5745583,0.2587,5.80,-162,437,43.8
1770114402.6781921,0.2618,5.91,-166,434,43.5
1770114402.782011,0.2601,5.72,-161,440,44.0
1770114402.8861086,0.2600,6.01,-167,431,43.2
1770114402.9912484,0.2606,5.82,-164,437,43.8
1770114403.0959334,0.2597,5.73,-161,440,44.0
1770114403.200347,0.2591,5.59,-158,443,44.4
1770114403.304925,0.2589,5.72,-161,440,44.0
1770114403.40978,0.2590,5.66,-160,442,44.2
1770114403.5140166,0.2584,5.96,-166,433,43.3
1770114403.618324,0.2589,5.59,-158,444,44.4
1770114403.7231987,0.2564,5.58,-157,444,44.4
1770114403.8278663,0.2582,5.59,-158,444,44.4
1770114403.922466,0.2577,5.51,-156,446,44.6
